customer_ID,customerFirstName,customerLastName,ZIP,city,employee_ID,employeeFirstName,employeeLastName,salesoffice_ID,address,phonenumber
70706-0217,Stephanie,Hanson,94698,South Tracey,84060-5437,Jason,Medina,88304-3746,"3051 James Light
Ashleyfort, DC 61182",425-156-2492x3899
59870-9973,Angela,Dean,06554,Port Kelly,76272-3112,Patricia,Phillips,51799-4445,"3039 Goodman Shoals Apt. 458
West Samanthaview, NJ 01933",859.866.7772x4900
91047-2520,Austin,Schwartz,51297,Williamburgh,87184-3053,Taylor,Hendricks,89076-8121,"PSC 7025, Box 3857
APO AE 10904",001-871-211-9606
14309-0846,Benjamin,Anderson,34299,Port Katherine,59978-0391,Jacqueline,Thomas,35397-7953,"1092 Doyle Mountain
Jonathanberg, KY 45587",+1-996-593-6716
96652-9507,Kimberly,Davis,91609,West Kayleemouth,79992-0549,Kyle,Curtis,87931-8989,"08682 Ashley Rest Suite 735
Lake Mary, IL 98303",516.599.3338
06246-9815,Brenda,Rose,36346,Port Randall,59394-6878,Sarah,Frazier,93918-8560,"177 Walker Rapids
North Jamesmouth, SC 10604",245.165.3046
50235-5708,Raymond,Flores,27441,Leefort,37385-4051,Nicole,Roberts,60370-3148,"3412 Jeffrey Port
Matthewtown, MN 00694",(946)635-3358
01394-6585,Cheryl,Kelley,55376,Brownfort,83397-0891,Nicole,Hanson,06186-3768,"712 Andrew Bridge
Port Justinside, NV 50104",626-253-6068x986
86451-2442,Amy,Burns,44259,Kathrynhaven,96050-4983,Victoria,Rose,69214-7773,"88872 Wright Freeway Suite 964
Savannahmouth, MT 62236",+1-633-868-4194x7124
36491-6498,Sheryl,Patterson,09080,Martinfurt,70734-0141,Matthew,Hill,97324-2407,"44392 Chelsey Drives Suite 806
Haynesland, AL 91797",305.797.0931x308
06523-0234,Ashley,Long,75999,East Caitlyn,66471-5588,Pamela,Miles,15347-4988,"5137 Ponce Loop Suite 896
South Paulabury, NJ 84768",587-623-9207
72583-6008,Juan,Hall,54692,Raytown,01414-5525,Jenny,Krueger,74889-0069,"77061 Christopher Center Suite 465
West Evan, AZ 92960",501-507-7688
